filename,width,height,class,xmin,ymin,xmax,ymax
frame40.jpg,640,360,frame,336,142,360,174
frame23.jpg,640,360,frame,119,1,409,335
frame65.jpg,640,360,frame,330,151,360,180
frame41.jpg,640,360,frame,216,3,454,335
frame66.jpg,640,360,frame,259,1,353,96
frame9.jpg,640,360,frame,130,14,389,358
frame17.jpg,640,360,frame,256,123,343,242
frame51.jpg,640,360,frame,220,1,469,360
frame15.jpg,640,360,frame,203,208,243,267
frame75.jpg,640,360,frame,250,12,324,144
frame73.jpg,640,360,frame,316,165,343,188
frame19.jpg,640,360,frame,235,48,299,146
frame33.jpg,640,360,frame,188,35,266,142
frame29.jpg,640,360,frame,216,85,410,360
frame55.jpg,640,360,frame,268,285,286,326
frame47.jpg,640,360,frame,215,101,327,262
frame76.jpg,640,360,frame,250,112,304,181
frame3.jpg,640,360,frame,244,101,396,335
frame2.jpg,640,360,frame,196,158,233,204
frame1.jpg,640,360,frame,203,161,276,278
frame38.jpg,640,360,frame,260,191,283,228
frame69.jpg,640,360,frame,245,1,333,98
frame79.jpg,640,360,frame,235,288,282,343
frame44.jpg,640,360,frame,229,1,404,266
frame13.jpg,640,360,frame,204,1,449,254
frame22.jpg,640,360,frame,180,191,209,232
frame81.jpg,640,360,frame,279,1,410,273
frame28.jpg,640,360,frame,190,139,256,245
frame11.jpg,640,360,frame,251,161,358,285
frame5.jpg,640,360,frame,226,288,261,351
frame48.jpg,640,360,frame,266,191,309,248
frame59.jpg,640,360,frame,303,121,332,158
frame14.jpg,640,360,frame,227,132,283,205
frame26.jpg,640,360,frame,298,134,376,293
frame46.jpg,640,360,frame,276,1,345,106
frame21.jpg,640,360,frame,228,130,270,172
frame34.jpg,640,360,frame,233,215,277,258
frame37.jpg,640,360,frame,330,1,377,142
frame52.jpg,640,360,frame,313,168,343,199
frame25.jpg,640,360,frame,240,141,284,178
frame56.jpg,640,360,frame,243,26,310,151
frame12.jpg,640,360,frame,250,24,336,165
frame39.jpg,640,360,frame,310,60,366,198
frame80.jpg,640,360,frame,263,1,445,341
frame74.jpg,640,360,frame,291,109,343,180
frame61.jpg,640,360,frame,306,72,357,151
frame50.jpg,640,360,frame,263,51,328,151
frame32.jpg,640,360,frame,228,306,275,351
frame54.jpg,640,360,frame,303,109,332,147
frame10.jpg,640,360,frame,226,96,407,358
frame30.jpg,640,360,frame,241,90,305,195
frame68.jpg,640,360,frame,287,68,343,152
frame49.jpg,640,360,frame,229,28,386,261
frame72.jpg,640,360,frame,284,75,362,178
frame43.jpg,640,360,frame,276,58,337,148
frame71.jpg,640,360,frame,261,126,313,191
frame62.jpg,640,360,frame,286,139,310,177
frame53.jpg,640,360,frame,302,181,330,205
frame77.jpg,640,360,frame,221,1,440,293
frame78.jpg,640,360,frame,309,146,340,181
frame20.jpg,640,360,frame,202,65,274,162
frame58.jpg,640,360,frame,246,237,290,289
frame64.jpg,640,360,frame,273,25,339,142
frame45.jpg,640,360,frame,234,1,447,360
frame63.jpg,640,360,frame,286,105,359,205
frame7.jpg,640,360,frame,245,70,325,181
frame8.jpg,640,360,frame,250,60,320,166
frame36.jpg,640,360,frame,243,1,322,128
frame24.jpg,640,360,frame,274,112,383,336
frame60.jpg,640,360,frame,285,2,366,106
frame27.jpg,640,360,frame,226,93,306,223
